Iteration:10000
elements:10
delta:0.0004
trend:2.42713
best generation:3720
stock#:,AAPL,CAT,CSCO,IBM,JNJ,KO,MCD,PFE,PG,TRV,V,WMT,
f(1):,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,833333.000000,10000000.000000000
f(2):,827239.400000,819945.850000,843503.600000,824663.300000,842327.640000,833532.310000,840988.720000,835817.180000,845348.360000,843170.660000,838162.650000,844038.520000,10038742.189999999
f(3):,829219.820000,826597.850000,852657.140000,820455.200000,843878.440000,843298.500000,842502.060000,829192.700000,848781.320000,846171.980000,860793.010000,848845.080000,10092397.100000000
f(4):,828001.100000,839070.350000,856386.360000,818630.000000,845351.700000,842899.880000,842680.100000,829192.700000,847827.720000,849673.520000,862724.870000,850046.720000,10112489.020000001
f(5):,830362.370000,846138.100000,858759.500000,821722.700000,839070.960000,843497.810000,846596.980000,825880.460000,850021.000000,853508.540000,870866.280000,860533.760000,10146962.459999999
f(6):,828991.310000,849879.850000,852657.140000,828922.100000,843878.440000,844892.980000,846686.000000,833609.020000,853072.520000,858677.480000,863138.840000,867852.840000,10172262.520000000
f(7):,835618.100000,852540.650000,852657.140000,827958.800000,844576.300000,847284.700000,846953.060000,836921.260000,855170.440000,858260.630000,861482.960000,863155.520000,10182583.559999999
f(8):,847424.450000,856365.550000,851301.060000,820962.200000,843335.660000,851270.900000,848644.440000,839681.460000,853358.600000,859261.070000,869210.400000,865231.080000,10206050.870000001
f(9):,859383.140000,840733.350000,870625.200000,825373.100000,845816.940000,852865.380000,849979.740000,839681.460000,844966.920000,860678.360000,865622.660000,906086.840000,10261817.090000000
f(10):,869742.260000,842645.800000,892322.480000,832319.000000,838760.800000,851669.520000,856478.200000,837473.300000,840294.280000,854008.760000,858447.180000,906305.320000,10280470.900000000
f(11):,868295.030000,845639.200000,897407.780000,832319.000000,839846.360000,855456.410000,854341.720000,836921.260000,837719.560000,856676.600000,861758.940000,912968.960000,10299354.820000000
f(12):,879568.190000,848466.300000,901815.040000,820810.100000,843955.980000,867614.320000,858258.600000,844373.800000,838768.520000,857510.300000,861482.960000,915372.240000,10338000.350000000
f(13):,873474.590000,842313.200000,901476.020000,818477.900000,843413.200000,881366.710000,859593.900000,840233.500000,846206.600000,859010.960000,862034.920000,928481.040000,10356086.540000001
f(14):,885966.470000,848882.050000,908934.460000,814472.600000,838915.880000,881964.640000,860306.060000,840233.500000,843727.240000,862595.870000,868244.470000,924002.200000,10378249.439999999
f(15):,887185.190000,885135.450000,911307.600000,815892.200000,836434.600000,886947.390000,860662.140000,840509.520000,844966.920000,865513.820000,877075.830000,924766.880000,10436401.540000001
f(16):,903637.910000,881061.100000,916392.900000,822128.300000,828835.680000,882363.260000,865024.120000,834161.060000,840294.280000,865347.080000,878455.730000,932959.880000,10450665.300000001
f(17):,895792.400000,883389.300000,924868.400000,820151.000000,827439.960000,885552.220000,863510.780000,841061.560000,846874.120000,862345.760000,887563.070000,928044.080000,10466596.650000000
f(18):,906456.200000,879647.550000,929953.700000,821114.300000,831394.500000,882761.880000,856567.220000,858450.820000,847637.000000,870182.540000,887563.070000,928371.800000,10500104.580000002
f(19):,905923.010000,836492.700000,937073.120000,822229.700000,839458.660000,893524.620000,861819.400000,859830.920000,862417.800000,870849.500000,890736.840000,956337.240000,10536697.510000000
